symbol,rows,start,end,span_days,null_count
TSLA,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
TTWO,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
TXN,616,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
VRSK,399,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
VRTX,545,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
WDAY,599,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
WDC,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
XEL,436,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
ZS,618,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
WBD,576,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
